Time,Symbol,Regime,Action,Equity Allocation,Explanation,Portfolio Value
2026-02-15T22:52:45.555280,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100401.1
2026-02-15T22:52:48.837964,INFY.NS,High Volatility,AUTO_TRADE,0.17,"INFY.NS selected under High Volatility regime. Risk-adjusted allocation = 17.0%. Volatility=0.403, Drawdown=-0.19.",443707.19
2026-02-15T22:52:58.253321,INFY.NS,High Volatility,AUTO_TRADE,0.17,"INFY.NS selected under High Volatility regime. Risk-adjusted allocation = 17.0%. Volatility=0.403, Drawdown=-0.19.",443707.19
2026-02-15T22:52:59.911253,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100401.1
2026-02-15T22:53:07.744681,INFY.NS,High Volatility,AUTO_TRADE,0.17,"INFY.NS selected under High Volatility regime. Risk-adjusted allocation = 17.0%. Volatility=0.403, Drawdown=-0.19.",443707.19
2026-02-15T22:53:14.971175,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100401.1
2026-02-15T22:53:17.135619,INFY.NS,High Volatility,AUTO_TRADE,0.17,"INFY.NS selected under High Volatility regime. Risk-adjusted allocation = 17.0%. Volatility=0.403, Drawdown=-0.19.",443707.19
2026-02-15T22:53:25.883666,TCS.NS,High Volatility,AUTO_TRADE,0.27,"TCS.NS selected under High Volatility regime. Risk-adjusted allocation = 27.0%. Volatility=0.206, Drawdown=-0.087.",446255.19
2026-02-15T22:54:52.360305,INFY.NS,High Volatility,AUTO_TRADE,0.17,"INFY.NS selected under High Volatility regime. Risk-adjusted allocation = 17.0%. Volatility=0.403, Drawdown=-0.19.",442387.69
2026-02-15T22:55:00.401250,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100401.1
2026-02-15T22:55:02.028099,INFY.NS,High Volatility,AUTO_TRADE,0.17,"INFY.NS selected under High Volatility regime. Risk-adjusted allocation = 17.0%. Volatility=0.403, Drawdown=-0.19.",442387.69
2026-02-15T22:55:10.795957,RELIANCE.NS,Calm Bear,AUTO_TRADE,0.17,"RELIANCE.NS selected under Calm Bear regime. Risk-adjusted allocation = 17.0%. Volatility=0.403, Drawdown=-0.19.",442387.69
2026-02-15T22:55:12.158788,LT.NS,High Volatility,AUTO_TRADE,0.2,"LT.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100401.1
2026-02-15T22:55:20.062929,INFY.NS,High Volatility,AUTO_TRADE,0.17,"INFY.NS selected under High Volatility regime. Risk-adjusted allocation = 17.0%. Volatility=0.403, Drawdown=-0.19.",442387.69
2026-02-15T22:55:26.716451,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100401.1
2026-02-15T22:55:29.468469,INFY.NS,High Volatility,AUTO_TRADE,0.17,"INFY.NS selected under High Volatility regime. Risk-adjusted allocation = 17.0%. Volatility=0.403, Drawdown=-0.19.",442387.69
2026-02-15T22:55:39.036447,RELIANCE.NS,High Volatility,AUTO_TRADE,0.21,"RELIANCE.NS selected under High Volatility regime. Risk-adjusted allocation = 21.0%. Volatility=0.323, Drawdown=-0.055.",440400.49
2026-02-15T22:55:42.004215,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100401.1
2026-02-15T22:55:48.495348,INFY.NS,High Volatility,AUTO_TRADE,0.17,"INFY.NS selected under High Volatility regime. Risk-adjusted allocation = 17.0%. Volatility=0.403, Drawdown=-0.19.",442939.69
2026-02-15T22:55:56.975156,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100401.1
2026-02-15T22:55:57.838091,INFY.NS,High Volatility,AUTO_TRADE,0.17,"INFY.NS selected under High Volatility regime. Risk-adjusted allocation = 17.0%. Volatility=0.403, Drawdown=-0.19.",442939.69
2026-02-15T22:56:06.453615,TCS.NS,High Volatility,AUTO_TRADE,0.17,"TCS.NS selected under High Volatility regime. Risk-adjusted allocation = 17.0%. Volatility=0.403, Drawdown=-0.19.",442939.69
2026-02-15T22:56:09.093822,ITC.NS,High Volatility,AUTO_TRADE,0.2,"ITC.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100401.1
2026-02-15T22:56:15.695947,INFY.NS,High Volatility,AUTO_TRADE,0.17,"INFY.NS selected under High Volatility regime. Risk-adjusted allocation = 17.0%. Volatility=0.403, Drawdown=-0.19.",442939.69
2026-02-15T22:56:23.937574,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100401.1
2026-02-15T22:56:24.447422,RELIANCE.NS,High Volatility,AUTO_TRADE,0.17,"RELIANCE.NS selected under High Volatility regime. Risk-adjusted allocation = 17.0%. Volatility=0.403, Drawdown=-0.19.",442939.69
2026-02-15T22:56:33.757637,INFY.NS,High Volatility,AUTO_TRADE,0.17,"INFY.NS selected under High Volatility regime. Risk-adjusted allocation = 17.0%. Volatility=0.403, Drawdown=-0.19.",442939.69
2026-02-15T22:56:43.514550,RELIANCE.NS,High Volatility,AUTO_TRADE,0.24,"RELIANCE.NS selected under High Volatility regime. Risk-adjusted allocation = 24.0%. Volatility=0.247, Drawdown=-0.16.",493489.09
2026-02-15T22:56:45.246362,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100401.1
2026-02-15T22:56:53.160806,INFY.NS,High Volatility,AUTO_TRADE,0.17,"INFY.NS selected under High Volatility regime. Risk-adjusted allocation = 17.0%. Volatility=0.403, Drawdown=-0.19.",445747.99
2026-02-15T22:56:59.982746,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100401.1
2026-02-15T22:57:02.313905,INFY.NS,High Volatility,AUTO_TRADE,0.17,"INFY.NS selected under High Volatility regime. Risk-adjusted allocation = 17.0%. Volatility=0.403, Drawdown=-0.19.",445747.99
2026-02-15T22:57:11.015579,TCS.NS,High Volatility,AUTO_TRADE,0.27,"TCS.NS selected under High Volatility regime. Risk-adjusted allocation = 27.0%. Volatility=0.206, Drawdown=-0.087.",448295.99
2026-02-15T22:57:20.633376,RELIANCE.NS,Calm Bear,AUTO_TRADE,0.2,"RELIANCE.NS selected under Calm Bear regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",429935.99
2026-02-15T22:57:22.510768,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100401.1
2026-02-15T22:57:29.885745,INFY.NS,High Volatility,AUTO_TRADE,0.17,"INFY.NS selected under High Volatility regime. Risk-adjusted allocation = 17.0%. Volatility=0.403, Drawdown=-0.19.",442041.49
2026-02-15T22:57:37.058199,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100401.1
2026-02-15T22:57:39.314362,INFY.NS,High Volatility,AUTO_TRADE,0.17,"INFY.NS selected under High Volatility regime. Risk-adjusted allocation = 17.0%. Volatility=0.403, Drawdown=-0.19.",442041.49
2026-02-15T22:57:55.389852,INFY.NS,High Volatility,AUTO_TRADE,0.17,"INFY.NS selected under High Volatility regime. Risk-adjusted allocation = 17.0%. Volatility=0.403, Drawdown=-0.19.",442041.49
2026-02-15T22:57:58.230962,ITC.NS,High Volatility,AUTO_TRADE,0.2,"ITC.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100401.1
2026-02-15T22:58:04.670421,INFY.NS,High Volatility,AUTO_TRADE,0.17,"INFY.NS selected under High Volatility regime. Risk-adjusted allocation = 17.0%. Volatility=0.403, Drawdown=-0.19.",442041.49
2026-02-15T22:58:13.010367,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100401.1
2026-02-15T22:58:13.413486,RELIANCE.NS,High Volatility,AUTO_TRADE,0.17,"RELIANCE.NS selected under High Volatility regime. Risk-adjusted allocation = 17.0%. Volatility=0.403, Drawdown=-0.19.",442041.49
2026-02-15T22:58:28.755688,INFY.NS,High Volatility,AUTO_TRADE,0.17,"INFY.NS selected under High Volatility regime. Risk-adjusted allocation = 17.0%. Volatility=0.403, Drawdown=-0.19.",442041.49
2026-02-15T22:58:34.931249,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100401.1
2026-02-15T22:58:37.965716,INFY.NS,High Volatility,AUTO_TRADE,0.17,"INFY.NS selected under High Volatility regime. Risk-adjusted allocation = 17.0%. Volatility=0.403, Drawdown=-0.19.",442041.49
2026-02-15T22:58:47.420491,TCS.NS,Crash,AUTO_TRADE,0.0,"TCS.NS selected under Crash regime. Risk-adjusted allocation = 0.0%. Volatility=0.253, Drawdown=-0.264.",442041.49
2026-02-15T22:58:50.127245,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100401.1
2026-02-15T22:58:57.146699,INFY.NS,High Volatility,AUTO_TRADE,0.17,"INFY.NS selected under High Volatility regime. Risk-adjusted allocation = 17.0%. Volatility=0.403, Drawdown=-0.19.",442041.49
2026-02-15T22:59:05.684213,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100401.1
2026-02-15T22:59:05.923694,RELIANCE.NS,High Volatility,AUTO_TRADE,0.25,"RELIANCE.NS selected under High Volatility regime. Risk-adjusted allocation = 25.0%. Volatility=0.259, Drawdown=-0.132.",459775.09
2026-02-15T22:59:14.659888,RELIANCE.NS,High Volatility,AUTO_TRADE,0.17,"RELIANCE.NS selected under High Volatility regime. Risk-adjusted allocation = 17.0%. Volatility=0.403, Drawdown=-0.19.",437772.29
2026-02-15T22:59:19.588008,ITC.NS,High Volatility,AUTO_TRADE,0.2,"ITC.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100401.1
2026-02-15T22:59:25.337741,INFY.NS,High Volatility,AUTO_TRADE,0.17,"INFY.NS selected under High Volatility regime. Risk-adjusted allocation = 17.0%. Volatility=0.403, Drawdown=-0.19.",437772.29
2026-02-15T22:59:34.661839,TCS.NS,Crash,AUTO_TRADE,0.0,"TCS.NS selected under Crash regime. Risk-adjusted allocation = 0.0%. Volatility=0.253, Drawdown=-0.264.",437772.29
2026-02-15T22:59:36.450609,SBIN.NS,High Volatility,AUTO_TRADE,0.2,"SBIN.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100401.1
2026-02-15T22:59:45.455918,INFY.NS,High Volatility,AUTO_TRADE,0.17,"INFY.NS selected under High Volatility regime. Risk-adjusted allocation = 17.0%. Volatility=0.403, Drawdown=-0.19.",437772.29
2026-02-15T22:59:54.533105,ITC.NS,High Volatility,AUTO_TRADE,0.2,"ITC.NS selected under High Volatility regime. Risk-adjusted allocation = 20.0%. Volatility=0.374, Drawdown=-0.045.",100401.1
